"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J5";"Pin_Header_Straight_2x03_Pitch2.54mm_SMD";1;"Prog";;;
2;"C12,C6,C13,C14";"C_0402_1005Metric";4;"10nF";;;
3;"J1,J2";"Pin_Header_Straight_1x14_Pitch2.54mm";2;"CONN_01X14";;;
4;"L1";"L_0603";1;"Bead";;;
5;"C1,C2,C3,C4";"C_0402_1005Metric";4;"1uF";;;
6;"C5,C8,C9,C10,C11";"C_0402_1005Metric";5;"100nF";;;
7;"D1";"LED_0402_1005Metric";1;"PWR";;;
8;"D2";"LED_0402_1005Metric";1;"USR";;;
9;"U2";"SOT-23-5";1;"MIC5504-3.3YM5";;;
10;"U4";"SOT-23-5";1;"MIC5504-1.2YM5";;;
11;"SW1";"SW_SPST_B3U-1000P";1;"SW_Push";;;
12;"U5";"DFN-8-1EP_3x2mm_P0.5mm_EP1.75x1.45mm";1;"AT25xxx-MA";;;
13;"U3";"Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm";1;"DSC6001CI2A-016.0000T";;;
14;"U6";"USB_Micro-B_GCT_USB3076-30-A";1;"USB_OTG";;;
15;"U1";"QFN-48-1EP_7x7mm_P0.5mm_EP5.15x5.15mm";1;"ICE40UP5K-SG48ITR";;;
16;"R1";"R_0402_1005Metric";1;"1.5k";;;
17;"R2,R3";"R_0402_1005Metric";2;"68";;;
18;"R4";"R_0402_1005Metric";1;"100";;;
19;"R5,R6,R7,R10";"R_0402_1005Metric";4;"10k";;;
20;"R8,R9";"R_0402_1005Metric";2;"270";;;
21;"C17";"C_0603_1608Metric";1;"10uF";;;
